handle,shortcode,posted_at,media_type,location_tag,tag_is,venue_mentions,venue_named_in_caption,is_venue_post,is_sponsored,exclude_reason,resolvable_by,venue_name,area,note
nomnomswithta,DcgGW1BPP9j,2026-08-26,reel,"Two Fold Coffee, Kelana Jaya",venue,,yes,yes,no,,C1,Two Fold Coffee,Kelana Jaya,"Shio pan; eat hot. Repeat visitor, near home."
nomnomswithta,DcL64_sz_Wg,2026-08-18,reel,"Since Then, Bangsar",venue,,yes,yes,no,,C1,Since Then,Bangsar,Tom yum is the must-order. Comfort repeat.
nomnomswithta,DcBF0CLTQPH,2026-08-14,reel,"Gepuklah By Mingchuun, Damansara Jaya",venue,@mingchuun,yes,yes,no,,C1,Gepuklah By Mingchuun,Damansara Jaya,"INDEPENDENT source for Gepuklah. Mixed verdict: worth trying, not worth the queue."
nomnomswithta,Db5XwxlTvgo,2026-08-11,reel,Don't Tell Mama,venue,,yes,yes,no,,C1,Don't Tell Mama,,Parking and queue are a headache. Pet-friendly outdoor.
jajabinxz,Dcije7Xh5Mm,2026-08-27,reel,Sisters Place @ TTDI KL,venue,,yes,yes,no,,C1,Sisters Place,TTDI,"Muslim Friendly CKT RM20; squid prawn kerang. Halal wording is the creator's, NOT verified."
tomato_ate_it,DcitrelSX4L,2026-08-27,reel,Niji Izakaya,venue,@niji.sushi.izakaya,yes,yes,no,,C1+C2,Niji Izakaya,KL,Opened a few months ago. Venue has its own IG account.
jcinthehizzay,DcalZwLyOYw,2026-08-24,reel,,none,,hashtag only,yes,no,,none,Koppiku,Universiti Malaya,"HARD CASE: venue identity only in #koppiku #universitimalaya. No tag, no caption name."
jajabinxz,DcituqLhD9x,2026-08-27,reel,,none,,no,no,yes,sponsored,,,,Shihlin brand promo; RM690 competition. #Shihlin
jajabinxz,Dbxaw86h2yw,2026-08-08,reel,,none,@misedaap.my,no,no,yes,sponsored,,,,Mi Sedaap instant noodle product ad.
tomato_ate_it,DcTLkZpJni1,2026-08-21,reel,,none,@nibbs.io,no,no,no,personal,,,,Joining her brothers' startup. Not food.
tomato_ate_it,DcQmvVsJH5q,2026-08-20,reel,Shanghai,area,"@mastercardmy,@mastercard",no,no,yes,out_of_scope+sponsored,,,,Shanghai restaurant list + Mastercard/Alipay promo. Outside Klang Valley.
jcinthehizzay,DcQUzl6HTxG,2026-08-20,carousel,,none,@rytbankmy,no,no,yes,sponsored,,,,Shiopan ranking list but wrapped in a Ryt Bank angpao promo.
mingchuun,DcVxMOsRCeh,2026-08-22,reel,,none,"@woodman.my,@gepuklah.my",no,no,no,self_interest,,,,Seat-count business reasoning for his own venues.
mingchuun,DcQtvIDhGTM,2026-08-20,reel,,none,"@gepuklah.my,@matte.culture,@aftermealdessertcafe,@nasi.lemak.shop",no,no,no,self_interest,,,,"Gepuklah Friends Month promo. Names 3 partner venues as promo, not recommendation."
nomnomswithta,DbLL9KxPC9a,2026-07-24,reel,A'rest TRX,venue,,yes,yes,no,,C1,A'rest,TRX,Underwhelming vs expectations but would return to work/chill. Honest negative-ish.
nomnomswithta,Dah2dEUvCPm,2026-07-08,reel,"555 Thainanese Chicken Rice, Sri Hartamas",venue,,yes,yes,no,,C1,555 Thainanese Chicken Rice,Sri Hartamas,Decent cozy family chicken rice. Venue has IG @555thainanese.
jcinthehizzay,DcNwwhGNbfi,2026-08-19,reel,,none,,hashtag only,yes,no,,C5,Gentle Mess,,HARD CASE 2: venue only in #gentlemess #cafegentlemess. Same pattern as Koppiku.
mingchuun,DbF8DBFxCMC,2026-07-22,reel,,none,@gepuklah.my,no,no,no,self_interest,,,,"Gepuklah opening countdown, 10 days out."
mingchuun,DcTaDCKn6Uz,2026-08-21,photo,,none,@gepuklah.my,no,no,no,self_interest,,,,Day in the life of his own shop. Sold out flex.
nomnomswithta,DaU6d2ePsJh,2026-07-03,reel,"Fujisawa Izakaya, Steppes Mont Kiara",venue,,yes,yes,no,,C1,Fujisawa Izakaya,Steppes Mont Kiara,Few options at Steppes. Lazy caption but venue fully specified.
jajabinxz,DR7sW4Pkwl4,2025-12-06,reel,Nale The Nasi Lemak Company @ Damansara Pavilion,venue,,yes,yes,no,,C1,Nale The Nasi Lemak Company,Damansara Pavilion,RM289 indomie platter - creator calls it very pricey. NEGATIVE-ish.
jajabinxz,DbbBdyrBWz-,2026-07-30,reel,Serdang Midnight Curry Mee Stall @ Kampung Baru Seri Kembangan,venue,,yes,yes,no,,C1,Serdang Midnight Curry Mee Stall,Kampung Baru Seri Kembangan,STALL. Open till 3am - hours_note. Roadside parking. YTF RM2-2.50/pc. RM69 pricey but yumz.
tomato_ate_it,DcLdKZdJPtO,2026-08-18,reel,,none,@kfcmalaysia,no,no,yes,sponsored,,,,"KFC #CaraOriKFC contest. Home recipe, not a venue."
tomato_ate_it,DcI4WY6pYU5,2026-08-17,reel,,none,@knorrmalaysia,no,no,yes,sponsored,,,,Knorr Pasti Sedap seasoning. Home cooking.
