id,provider_place_id,name,name_aliases,lat,lng,address,area,category,halal_status,price_band,hours_note,operational_status,photo_url,photo_source,photo_source_url,photo_credit,photo_fetched_at,photo_visible,status,notes
two-fold-coffee,,Two Fold Coffee,,,,,Kelana Jaya,,unknown,,,operational,,,,,,true,draft,"Shio pan; eat hot. Repeat visitor, near home."
since-then,,Since Then,,,,,Bangsar,,unknown,,,operational,,,,,,true,draft,Tom yum is the must-order. Comfort repeat.
gepuklah-by-mingchuun,,Gepuklah By Mingchuun,Gepuklah,,,,Damansara Jaya,,unknown,,,operational,,,,,,true,draft,"INDEPENDENT source for Gepuklah. Mixed verdict: worth trying, not worth the queue."
don-t-tell-mama,,Don't Tell Mama,,,,,,,unknown,,,operational,,,,,,true,draft,Parking and queue are a headache. Pet-friendly outdoor.
sisters-place,,Sisters Place,,,,,TTDI,,unknown,rm10_25,,operational,,,,,,true,draft,"Muslim Friendly CKT RM20; squid prawn kerang. Halal wording is the creator's, NOT verified. price_band from stated CKT RM20."
niji-izakaya,,Niji Izakaya,,,,,KL,,unknown,,,operational,,,,,,true,draft,Opened a few months ago. Venue has its own IG account.
koppiku,,Koppiku,,,,,Universiti Malaya,,unknown,,,operational,,,,,,true,draft,"HARD CASE: venue identity only in #koppiku #universitimalaya. No tag, no caption name."
a-rest,,A'rest,,,,,TRX,,unknown,,,operational,,,,,,true,draft,Underwhelming vs expectations but would return to work/chill. Honest negative-ish.
555-thainanese-chicken-rice,,555 Thainanese Chicken Rice,,,,,Sri Hartamas,,unknown,,,operational,,,,,,true,draft,Decent cozy family chicken rice. Venue has IG @555thainanese.
gentle-mess,,Gentle Mess,,,,,,,unknown,,,operational,,,,,,true,draft,HARD CASE 2: venue only in #gentlemess #cafegentlemess. Same pattern as Koppiku.
fujisawa-izakaya,,Fujisawa Izakaya,,,,,Steppes Mont Kiara,,unknown,,,operational,,,,,,true,draft,Few options at Steppes. Lazy caption but venue fully specified.
nale-the-nasi-lemak-company,,Nale The Nasi Lemak Company,,,,,Damansara Pavilion,,unknown,,,operational,,,,,,true,draft,RM289 indomie platter - creator calls it very pricey. NEGATIVE-ish. price_band left null: RM289 is a sharing platter; per-person spend unknown.
serdang-midnight-curry-mee-stall,,Serdang Midnight Curry Mee Stall,,,,,Kampung Baru Seri Kembangan,,unknown,,Open till ~3am (creator-reported),operational,,,,,,true,draft,STALL. Open till 3am - hours_note. Roadside parking. YTF RM2-2.50/pc. RM69 pricey but yumz.
