id,creator_id,platform_account_id,place_id,platform,post_url,thumbnail_url,media_kind,content_summary,is_sponsored,is_self_interest,posted_at,ingest_status,excluded_reason,resolved_by,location_tag_kind
post-DcgGW1BPP9j,nomnomswithta,pa-nomnomswithta,two-fold-coffee,instagram,https://www.instagram.com/p/DcgGW1BPP9j/,,post,"Shio pan; eat hot. Repeat visitor, near home.",false,false,2026-08-26,matched,,C1,venue
post-DcL64_sz_Wg,nomnomswithta,pa-nomnomswithta,since-then,instagram,https://www.instagram.com/p/DcL64_sz_Wg/,,post,Tom yum is the must-order. Comfort repeat.,false,false,2026-08-18,matched,,C1,venue
post-DcBF0CLTQPH,nomnomswithta,pa-nomnomswithta,gepuklah-by-mingchuun,instagram,https://www.instagram.com/p/DcBF0CLTQPH/,,post,"INDEPENDENT source for Gepuklah. Mixed verdict: worth trying, not worth the queue.",false,false,2026-08-14,matched,,C1,venue
post-Db5XwxlTvgo,nomnomswithta,pa-nomnomswithta,don-t-tell-mama,instagram,https://www.instagram.com/p/Db5XwxlTvgo/,,post,Parking and queue are a headache. Pet-friendly outdoor.,false,false,2026-08-11,matched,,C1,venue
post-Dcije7Xh5Mm,jajabinxz,pa-jajabinxz,sisters-place,instagram,https://www.instagram.com/p/Dcije7Xh5Mm/,,post,"Muslim Friendly CKT RM20; squid prawn kerang. Halal wording is the creator's, NOT verified.",false,false,2026-08-27,matched,,C1,venue
post-DcitrelSX4L,tomato-ate-it,pa-tomato-ate-it,niji-izakaya,instagram,https://www.instagram.com/p/DcitrelSX4L/,,post,Opened a few months ago. Venue has its own IG account.,false,false,2026-08-27,matched,,C1+C2,venue
post-DcalZwLyOYw,jcinthehizzay,pa-jcinthehizzay,koppiku,instagram,https://www.instagram.com/p/DcalZwLyOYw/,,post,"HARD CASE: venue identity only in #koppiku #universitimalaya. No tag, no caption name.",false,false,2026-08-24,matched,,none,none
post-DcituqLhD9x,jajabinxz,pa-jajabinxz,,instagram,https://www.instagram.com/p/DcituqLhD9x/,,post,Shihlin brand promo; RM690 competition. #Shihlin,true,false,2026-08-27,excluded,sponsored,,none
post-Dbxaw86h2yw,jajabinxz,pa-jajabinxz,,instagram,https://www.instagram.com/p/Dbxaw86h2yw/,,post,Mi Sedaap instant noodle product ad.,true,false,2026-08-08,excluded,sponsored,,none
post-DcTLkZpJni1,tomato-ate-it,pa-tomato-ate-it,,instagram,https://www.instagram.com/p/DcTLkZpJni1/,,post,Joining her brothers' startup. Not food.,false,false,2026-08-21,excluded,personal,,none
